precipitation,date,temp_max,temp_min,wind,weather,year,month
0.0,2012-01-01,12.8,5.0,4.7,drizzle,2012,1
10.9,2012-01-02,10.6,2.8,4.5,rain,2012,1
0.8,2012-01-03,11.7,7.2,2.3,rain,2012,1
20.3,2012-01-04,12.2,5.6,4.7,rain,2012,1
1.3,2012-01-05,8.9,2.8,6.1,rain,2012,1
2.5,2012-01-06,4.4,2.2,2.2,rain,2012,1
0.0,2012-01-07,7.2,2.8,2.3,rain,2012,1
0.0,2012-01-08,10.0,2.8,2.0,sun,2012,1
4.3,2012-01-09,9.4,5.0,3.4,rain,2012,1
1.0,2012-01-10,6.1,0.6,3.4,rain,2012,1
0.0,2012-01-11,6.1,-1.1,5.1,sun,2012,1
0.0,2012-01-12,6.1,-1.7,1.9,sun,2012,1
0.0,2012-01-13,5.0,-2.8,1.3,sun,2012,1
4.1,2012-01-14,4.4,0.6,5.3,snow,2012,1
5.3,2012-01-15,1.1,-3.3,3.2,snow,2012,1
2.5,2012-01-16,1.7,-2.8,5.0,snow,2012,1
8.1,2012-01-17,3.3,0.0,5.6,snow,2012,1
19.8,2012-01-18,0.0,-2.8,5.0,snow,2012,1
15.2,2012-01-19,-1.1,-2.8,1.6,snow,2012,1
13.5,2012-01-20,7.2,-1.1,2.3,snow,2012,1
3.0,2012-01-21,8.3,3.3,8.2,rain,2012,1
6.1,2012-01-22,6.7,2.2,4.8,rain,2012,1
0.0,2012-01-23,8.3,1.1,3.6,rain,2012,1
8.6,2012-01-24,10.0,2.2,5.1,rain,2012,1
8.1,2012-01-25,8.9,4.4,5.4,rain,2012,1
4.8,2012-01-26,8.9,1.1,4.8,rain,2012,1
0.0,2012-01-27,6.7,-2.2,1.4,drizzle,2012,1
0.0,2012-01-28,6.7,0.6,2.2,rain,2012,1
27.7,2012-01-29,9.4,3.9,4.5,rain,2012,1
3.6,2012-01-30,8.3,6.1,5.1,rain,2012,1
1.8,2012-01-31,9.4,6.1,3.9,rain,2012,1
13.5,2012-02-01,8.9,3.3,2.7,rain,2012,2
0.0,2012-02-02,8.3,1.7,2.6,sun,2012,2
0.0,2012-02-03,14.4,2.2,5.3,sun,2012,2
0.0,2012-02-04,15.6,5.0,4.3,sun,2012,2
0.0,2012-02-05,13.9,1.7,2.9,sun,2012,2
0.0,2012-02-06,16.1,1.7,5.0,sun,2012,2
0.3,2012-02-07,15.6,7.8,5.3,rain,2012,2
2.8,2012-02-08,10.0,5.0,2.7,rain,2012,2
2.5,2012-02-09,11.1,7.8,2.4,rain,2012,2
2.5,2012-02-10,12.8,6.7,3.0,rain,2012,2
0.8,2012-02-11,8.9,5.6,3.4,rain,2012,2
1.0,2012-02-12,8.3,5.0,1.3,rain,2012,2
11.4,2012-02-13,7.2,4.4,1.4,rain,2012,2
2.5,2012-02-14,6.7,1.1,3.1,rain,2012,2
0.0,2012-02-15,7.2,0.6,1.8,drizzle,2012,2
1.8,2012-02-16,7.2,3.3,2.1,rain,2012,2
17.3,2012-02-17,10.0,4.4,3.4,rain,2012,2
6.4,2012-02-18,6.7,3.9,8.1,rain,2012,2
0.0,2012-02-19,6.7,2.2,4.7,sun,2012,2
3.0,2012-02-20,7.8,1.7,2.9,rain,2012,2
0.8,2012-02-21,10.0,7.8,7.5,rain,2012,2
8.6,2012-02-22,10.0,2.8,5.9,rain,2012,2
0.0,2012-02-23,8.3,2.8,3.9,sun,2012,2
11.4,2012-02-24,6.7,4.4,3.5,rain,2012,2
0.0,2012-02-25,7.2,2.8,6.4,rain,2012,2
1.3,2012-02-26,5.0,-1.1,3.4,snow,2012,2
0.0,2012-02-27,6.7,-2.2,3.0,sun,2012,2
3.6,2012-02-28,6.7,-0.6,4.2,snow,2012,2
0.8,2012-02-29,5.0,1.1,7.0,snow,2012,2
0.0,2012-03-01,6.1,1.1,3.1,sun,2012,3
2.0,2012-03-02,6.7,3.9,5.1,rain,2012,3
0.0,2012-03-03,12.2,6.7,7.0,sun,2012,3
0.0,2012-03-04,10.6,6.7,5.6,rain,2012,3
6.9,2012-03-05,7.8,1.1,6.2,rain,2012,3
0.5,2012-03-06,6.7,0.0,2.7,snow,2012,3
0.0,2012-03-07,8.9,-1.7,2.7,sun,2012,3
0.0,2012-03-08,15.6,0.6,2.5,sun,2012,3
3.6,2012-03-09,9.4,5.0,2.8,rain,2012,3
10.4,2012-03-10,7.2,6.1,3.4,rain,2012,3
13.7,2012-03-11,6.7,2.8,5.8,rain,2012,3
19.3,2012-03-12,8.3,0.6,6.2,snow,2012,3
9.4,2012-03-13,5.6,0.6,5.3,snow,2012,3
8.6,2012-03-14,7.8,1.1,4.7,rain,2012,3
23.9,2012-03-15,11.1,5.6,5.8,snow,2012,3
8.4,2012-03-16,8.9,3.9,5.1,rain,2012,3
9.4,2012-03-17,10.0,0.6,3.8,snow,2012,3
3.6,2012-03-18,5.0,-0.6,2.7,rain,2012,3
2.0,2012-03-19,7.2,-1.1,3.0,rain,2012,3
3.6,2012-03-20,7.8,2.2,6.4,rain,2012,3
1.3,2012-03-21,8.9,1.1,2.5,rain,2012,3
4.1,2012-03-22,10.0,1.7,2.1,rain,2012,3
0.0,2012-03-23,12.2,0.6,2.8,sun,2012,3
0.0,2012-03-24,15.0,3.3,5.2,sun,2012,3
0.0,2012-03-25,13.3,2.2,2.7,rain,2012,3
0.0,2012-03-26,12.8,6.1,4.3,drizzle,2012,3
4.8,2012-03-27,14.4,6.7,3.8,rain,2012,3
1.3,2012-03-28,10.6,7.2,5.9,rain,2012,3
27.4,2012-03-29,10.0,6.1,4.4,rain,2012,3
5.6,2012-03-30,9.4,5.0,4.7,rain,2012,3
13.2,2012-03-31,10.0,2.8,3.4,rain,2012,3
1.5,2012-04-01,8.9,4.4,6.8,rain,2012,4
0.0,2012-04-02,16.7,4.4,3.1,sun,2012,4
1.5,2012-04-03,11.7,3.3,3.1,rain,2012,4
0.0,2012-04-04,10.6,2.8,2.1,sun,2012,4
4.6,2012-04-05,9.4,2.8,1.8,snow,2012,4
0.3,2012-04-06,11.1,3.3,2.6,rain,2012,4
0.0,2012-04-07,16.1,1.7,4.3,sun,2012,4
0.0,2012-04-08,21.1,7.2,4.1,sun,2012,4
0.0,2012-04-09,20.0,6.1,2.1,sun,2012,4
0.0,2012-04-10,17.8,8.9,3.2,rain,2012,4
2.3,2012-04-11,11.1,7.2,2.6,rain,2012,4
0.5,2012-04-12,13.9,5.6,2.6,rain,2012,4
0.0,2012-04-13,15.0,3.9,4.0,drizzle,2012,4
0.0,2012-04-14,15.6,3.3,3.0,sun,2012,4
0.0,2012-04-15,16.1,7.2,2.9,rain,2012,4
8.1,2012-04-16,13.3,6.7,5.8,rain,2012,4
1.8,2012-04-17,10.0,4.4,2.0,rain,2012,4
1.8,2012-04-18,13.3,7.2,3.9,rain,2012,4
10.9,2012-04-19,13.9,5.0,2.6,rain,2012,4
6.6,2012-04-20,13.3,6.7,2.7,rain,2012,4
0.0,2012-04-21,20.0,4.4,2.3,sun,2012,4
0.0,2012-04-22,23.3,8.3,2.6,rain,2012,4
0.0,2012-04-23,21.7,8.9,3.5,sun,2012,4
4.3,2012-04-24,13.9,10.0,2.8,rain,2012,4
10.7,2012-04-25,16.7,8.9,2.6,rain,2012,4
3.8,2012-04-26,13.9,6.7,5.2,rain,2012,4
0.8,2012-04-27,13.3,6.1,4.8,rain,2012,4
0.0,2012-04-28,16.1,8.3,2.5,drizzle,2012,4
4.3,2012-04-29,15.6,8.9,1.6,rain,2012,4
4.3,2012-04-30,12.8,7.2,8.0,rain,2012,4
0.5,2012-05-01,11.7,6.1,6.4,rain,2012,5
0.5,2012-05-02,13.3,5.6,2.5,rain,2012,5
18.5,2012-05-03,11.1,7.2,3.4,rain,2012,5
1.8,2012-05-04,12.2,6.1,4.6,rain,2012,5
0.0,2012-05-05,13.3,5.0,2.3,sun,2012,5
0.0,2012-05-06,17.8,5.0,2.4,sun,2012,5
0.0,2012-05-07,23.9,6.1,2.2,sun,2012,5
0.0,2012-05-08,18.3,9.4,3.0,sun,2012,5
0.0,2012-05-09,13.3,6.7,3.9,rain,2012,5
0.0,2012-05-10,14.4,3.9,3.0,sun,2012,5
0.0,2012-05-11,18.3,4.4,4.3,sun,2012,5
0.0,2012-05-12,24.4,6.7,3.4,sun,2012,5
0.0,2012-05-13,25.6,9.4,4.2,sun,2012,5
0.0,2012-05-14,26.7,12.8,3.8,sun,2012,5
0.0,2012-05-15,24.4,9.4,4.1,drizzle,2012,5
0.0,2012-05-16,19.4,9.4,3.5,sun,2012,5
0.0,2012-05-17,17.8,6.7,2.9,rain,2012,5
0.0,2012-05-18,15.6,7.8,3.1,rain,2012,5
0.0,2012-05-19,19.4,7.2,1.5,sun,2012,5
6.4,2012-05-20,14.4,11.7,1.3,rain,2012,5
14.0,2012-05-21,16.7,10.0,4.0,rain,2012,5
6.1,2012-05-22,12.8,8.9,4.8,rain,2012,5
0.3,2012-05-23,14.4,8.9,6.3,rain,2012,5
0.0,2012-05-24,17.2,8.9,3.3,rain,2012,5
0.0,2012-05-25,22.2,8.9,3.1,rain,2012,5
0.0,2012-05-26,22.2,8.9,3.6,sun,2012,5
0.0,2012-05-27,17.2,11.7,3.7,sun,2012,5
0.0,2012-05-28,16.7,10.0,3.4,rain,2012,5
0.0,2012-05-29,16.1,7.8,1.8,sun,2012,5
0.3,2012-05-30,18.9,11.1,1.5,rain,2012,5
3.8,2012-05-31,17.8,12.2,2.7,rain,2012,5
6.6,2012-06-01,20.0,12.8,3.7,rain,2012,6
0.3,2012-06-02,18.9,10.6,3.7,rain,2012,6
0.0,2012-06-03,17.2,9.4,2.9,sun,2012,6
1.3,2012-06-04,12.8,8.9,3.1,rain,2012,6
16.0,2012-06-05,13.3,8.3,3.3,rain,2012,6
0.0,2012-06-06,16.1,6.1,3.4,sun,2012,6
16.5,2012-06-07,16.1,8.9,3.5,rain,2012,6
1.5,2012-06-08,15.0,8.3,3.0,rain,2012,6
0.0,2012-06-09,17.2,8.3,4.7,rain,2012,6
0.0,2012-06-10,18.9,10.0,2.9,sun,2012,6
0.0,2012-06-11,23.3,10.0,1.8,rain,2012,6
0.8,2012-06-12,18.3,12.8,3.9,rain,2012,6
0.0,2012-06-13,16.1,11.1,4.3,sun,2012,6
0.0,2012-06-14,17.2,10.0,2.7,sun,2012,6
0.0,2012-06-15,22.2,9.4,1.7,sun,2012,6
0.0,2012-06-16,21.1,15.0,4.1,rain,2012,6
0.0,2012-06-17,18.9,11.7,6.4,sun,2012,6
3.0,2012-06-18,17.2,10.0,3.8,rain,2012,6
1.0,2012-06-19,19.4,10.0,3.0,rain,2012,6
0.0,2012-06-20,24.4,10.0,3.0,sun,2012,6
0.0,2012-06-21,23.9,11.7,2.1,sun,2012,6
15.7,2012-06-22,13.9,11.7,1.9,rain,2012,6
8.6,2012-06-23,15.6,9.4,2.5,rain,2012,6
0.0,2012-06-24,19.4,9.4,2.0,drizzle,2012,6
0.5,2012-06-25,19.4,11.1,3.1,rain,2012,6
0.0,2012-06-26,18.3,10.6,3.4,rain,2012,6
0.0,2012-06-27,22.8,8.9,1.8,sun,2012,6
0.0,2012-06-28,22.2,11.7,2.5,rain,2012,6
0.3,2012-06-29,21.7,15.0,1.9,rain,2012,6
3.0,2012-06-30,20.0,13.3,2.4,rain,2012,6
0.0,2012-07-01,20.0,12.2,2.3,rain,2012,7
2.0,2012-07-02,18.9,11.7,2.1,rain,2012,7
5.8,2012-07-03,18.3,10.6,6.0,rain,2012,7
0.0,2012-07-04,20.6,9.4,3.8,sun,2012,7
0.0,2012-07-05,24.4,10.6,3.1,drizzle,2012,7
0.0,2012-07-06,25.0,11.1,2.1,sun,2012,7
0.0,2012-07-07,26.7,12.8,3.8,sun,2012,7
0.0,2012-07-08,28.3,14.4,2.8,rain,2012,7
1.5,2012-07-09,25.0,12.8,2.0,rain,2012,7
0.0,2012-07-10,23.9,11.1,2.3,drizzle,2012,7
0.0,2012-07-11,27.8,13.3,2.9,fog,2012,7
